지역명,일시,관외 이동량
대전광역시 중구,2,765586
울산광역시 남구,2,1041760
울산광역시 동구,2,274780
울산광역시 북구,2,602502
울산광역시 울주군,2,682991
울산광역시 중구,2,426734
세종특별자치시,2,566250
강원특별자치도 강릉시,2,601164
강원특별자치도 고성군,2,167317
강원특별자치도 동해시,2,145285
강원특별자치도 삼척시,2,153930
강원특별자치도 속초시,2,450714
강원특별자치도 양구군,2,27826
강원특별자치도 양양군,2,178734
강원특별자치도 영월군,2,79391
강원특별자치도 원주시,2,439045
강원특별자치도 인제군,2,89194
강원특별자치도 정선군,2,180234
강원특별자치도 철원군,2,77269
강원특별자치도 춘천시,2,423095
강원특별자치도 태백시,2,72619
강원특별자치도 평창군,2,235226
강원특별자치도 홍천군,2,245118
강원특별자치도 화천군,2,40008
강원특별자치도 횡성군,2,157369
충청북도 괴산군,2,108730
충청북도 단양군,2,100744
충청북도 보은군,2,74526
충청북도 영동군,2,71414
충청북도 옥천군,2,125840
충청북도 음성군,2,276498
충청북도 제천시,2,218680
충청북도 증평군,2,81317
충청북도 진천군,2,225039
충청북도 청주시 상당구,2,506611
충청북도 청주시 서원구,2,511483
충청북도 청주시 청원구,2,513095
충청북도 청주시 흥덕구,2,857847
충청북도 충주시,2,288705
충청남도 계룡시,2,81247
충청남도 공주시,2,328770
충청남도 금산군,2,150078
충청남도 논산시,2,239184
충청남도 당진시,2,292538
충청남도 보령시,2,213569
충청남도 부여군,2,124330
충청남도 서산시,2,237168
충청남도 서천군,2,117312
충청남도 아산시,2,747951
충청남도 예산군,2,253590
충청남도 천안시 동남구,2,741624
충청남도 천안시 서북구,2,942065
충청남도 청양군,2,74044
충청남도 태안군,2,164181
충청남도 홍성군,2,182427
전북특별자치도 고창군,2,99254
전북특별자치도 군산시,2,372084
전북특별자치도 김제시,2,201005
전북특별자치도 남원시,2,138302
전북특별자치도 무주군,2,118724
전북특별자치도 부안군,2,125489
전북특별자치도 순창군,2,60825
전북특별자치도 완주군,2,391312
전북특별자치도 익산시,2,375452
전북특별자치도 임실군,2,80436
전북특별자치도 장수군,2,32112
전북특별자치도 전주시 덕진구,2,792497
전북특별자치도 전주시 완산구,2,800403
전북특별자치도 정읍시,2,154517
전북특별자치도 진안군,2,57845
전라남도 강진군,2,76438
전라남도 고흥군,2,94394
전라남도 곡성군,2,72282
전라남도 광양시,2,278243
전라남도 구례군,2,65036
전라남도 나주시,2,272775
전라남도 담양군,2,225002
전라남도 목포시,2,427209
전라남도 무안군,2,265901
전라남도 보성군,2,97880
전라남도 순천시,2,399622
전라남도 신안군,2,81644
전라남도 여수시,2,563945
전라남도 영광군,2,96497
전라남도 영암군,2,171596
전라남도 완도군,2,67993
전라남도 장성군,2,134640
전라남도 장흥군,2,56903
전라남도 진도군,2,72684
전라남도 함평군,2,87445
전라남도 해남군,2,116051
전라남도 화순군,2,169900
경상북도 경산시,2,569861
경상북도 경주시,2,857668
경상북도 고령군,2,106986
경상북도 구미시,2,521468
경상북도 김천시,2,217749
경상북도 문경시,2,147282
경상북도 봉화군,2,55709
경상북도 상주시,2,161676
경상북도 성주군,2,134912
경상북도 안동시,2,237335
경상북도 영덕군,2,143213
경상북도 영양군,2,18410
경상북도 영주시,2,119266
경상북도 영천시,2,223938
경상북도 예천군,2,90739
경상북도 울릉군,2,8427
경상북도 울진군,2,124186
경상북도 의성군,2,86089
경상북도 청도군,2,183804
경상북도 청송군,2,55331
경상북도 칠곡군,2,383858
경상북도 포항시 남구,2,668009
경상북도 포항시 북구,2,588250
경상남도 거제시,2,343459
경상남도 거창군,2,74675
경상북도 군위군,2,97322
경상남도 고성군,2,144906
경상남도 김해시,2,835249
경상남도 남해군,2,122952
경상남도 밀양시,2,211757
경상남도 사천시,2,266772
경상남도 산청군,2,103823
경상남도 양산시,2,652044
경상남도 의령군,2,62830
경상남도 진주시,2,414795
경상남도 창녕군,2,156556
경상남도 창원시 마산합포구,2,462083
경상남도 창원시 마산회원구,2,452200
경상남도 창원시 성산구,2,806357
경상남도 창원시 의창구,2,763821
