일시,지역명,숙박업소 개수
1,강원특별자치도 강릉시,658
1,강원특별자치도 고성군,194
1,강원특별자치도 동해시,101
1,강원특별자치도 삼척시,157
1,강원특별자치도 속초시,276
1,강원특별자치도 양구군,17
1,강원특별자치도 양양군,311
1,강원특별자치도 영월군,111
1,강원특별자치도 원주시,133
1,강원특별자치도 인제군,72
1,강원특별자치도 정선군,91
1,강원특별자치도 철원군,24
1,강원특별자치도 춘천시,312
1,강원특별자치도 태백시,20
1,강원특별자치도 평창군,242
1,강원특별자치도 홍천군,243
1,강원특별자치도 화천군,55
1,강원특별자치도 횡성군,93
1,경상남도 거제시,537
1,경상남도 거창군,34
1,경상남도 고성군,53
1,경상남도 김해시,134
1,경상남도 남해군,343
1,경상남도 밀양시,82
1,경상남도 사천시,103
1,경상남도 산청군,74
1,경상남도 양산시,123
1,경상남도 의령군,7
1,경상남도 진주시,112
1,경상남도 창녕군,27
1,경상남도 창원시 마산합포구,69
1,경상남도 창원시 마산회원구,33
1,경상남도 창원시 성산구,93
1,경상남도 창원시 의창구,81
1,경상남도 창원시 진해구,50
1,경상남도 통영시,313
1,경상남도 하동군,84
1,경상남도 함안군,10
1,경상남도 함양군,22
1,경상남도 합천군,41
1,경상북도 경산시,47
1,경상북도 경주시,719
1,경상북도 고령군,2
1,경상북도 구미시,116
1,경상북도 군위군,7
1,경상북도 김천시,56
1,경상북도 문경시,66
1,경상북도 봉화군,15
1,경상북도 상주시,34
1,경상북도 성주군,43
1,경상북도 안동시,139
1,경상북도 영덕군,117
1,경상북도 영양군,2
1,경상북도 영주시,47
1,경상북도 영천시,31
1,경상북도 예천군,8
1,경상북도 울릉군,33
1,경상북도 울진군,71
1,경상북도 의성군,8
1,경상북도 청도군,69
1,경상북도 청송군,15
1,경상북도 칠곡군,33
1,경상북도 포항시,384
1,광주광역시 광산구,82
1,광주광역시 남구,17
1,광주광역시 동구,54
1,광주광역시 북구,68
1,광주광역시 서구,96
1,대구광역시 남구,24
1,대구광역시 달서구,73
1,대구광역시 달성군,27
1,대구광역시 동구,85
1,대구광역시 북구,52
1,대구광역시 서구,38
1,대구광역시 수성구,42
1,대구광역시 중구,55
1,대전광역시 대덕구,44
1,대전광역시 동구,46
1,대전광역시 서구,55
1,대전광역시 유성구,75
1,대전광역시 중구,55
1,부산광역시 강서구,54
1,부산광역시 금정구,28
1,부산광역시 기장군,105
1,부산광역시 남구,39
1,부산광역시 동구,81
1,부산광역시 동래구,54
1,부산광역시 부산광역시진구,11
1,부산광역시 부산진구,137
1,부산광역시 북구,50
1,부산광역시 사상구,61
1,부산광역시 사하구,38
1,부산광역시 서구,41
1,부산광역시 수영구,108
1,부산광역시 연제구,42
1,부산광역시 영도구,32
1,부산광역시 중구,88
1,부산광역시 해운대구,233
1,세종특별자치시 금남면,1
1,세종특별자치시 도움1로,1
1,세종특별자치시 부강면,4
1,세종특별자치시 연동면,3
1,세종특별자치시 연서면,2
1,세종특별자치시 전동면,1
1,세종특별자치시 전의면,2
1,세종특별자치시 조치원읍,7
1,울산광역시 남구,118
1,울산광역시 동구,36
1,울산광역시 북구,43
1,울산광역시 울주군,159
1,울산광역시 중구,24
1,전라남도 강진군,10
1,전라남도 고흥군,45
1,전라남도 곡성군,16
1,전라남도 광양시,72
1,전라남도 구례군,61
1,전라남도 나주시,48
1,전라남도 담양군,69
1,전라남도 목포시,128
1,전라남도 무안군,28
1,전라남도 보성군,24
1,전라남도 순천시,174
1,전라남도 신안군,20
1,전라남도 여수시,552
1,전라남도 영광군,22
1,전라남도 영암군,17
1,전라남도 완도군,64
1,전라남도 장성군,33
1,전라남도 장흥군,10
1,전라남도 진도군,19
1,전라남도 함평군,13
1,전라남도 해남군,37
1,전라남도 화순군,21
1,전북특별자치도 고창군,28
1,전북특별자치도 군산시,125
1,전북특별자치도 김제시,21
1,전북특별자치도 남원시,52
1,전북특별자치도 무주군,115
1,전북특별자치도 부안군,159
1,전북특별자치도 순창군,8
1,전북특별자치도 완주군,65
1,전북특별자치도 익산시,74
1,전북특별자치도 임실군,10
1,전북특별자치도 장수군,4
1,전북특별자치도 전주시,523
1,전북특별자치도 정읍시,42
1,전북특별자치도 진안군,15
1,제주특별자치도 서귀포시,942
1,제주특별자치도 제주시,1311
1,제주특별자치도 제주특별자치도시,17
1,충청남도 계룡시,17
1,충청남도 공주시,123
1,충청남도 금산군,32
1,충청남도 논산시,57
1,충청남도 당진시,49
1,충청남도 보령시,259
1,충청남도 부여군,20
1,충청남도 서산시,93
1,충청남도 서천군,26
1,충청남도 아산시,91
1,충청남도 예산군,41
1,충청남도 천안시 동남구,71
1,충청남도 천안시 서북구,88
1,충청남도 청양군,14
1,충청남도 태안군,671
1,충청남도 홍성군,26
1,충청북도 괴산군,65
1,충청북도 단양군,171
1,충청북도 보은군,36
1,충청북도 영동군,12
1,충청북도 옥천군,16
1,충청북도 음성군,29
1,충청북도 제천시,119
1,충청북도 증평군,6
1,충청북도 진천군,38
1,충청북도 청주시 상당구,64
1,충청북도 청주시 서원구,15
1,충청북도 청주시 청원구,44
1,충청북도 청주시 흥덕구,85
1,충청북도 충주시,116
2,강원특별자치도 강릉시,665
2,강원특별자치도 고성군,196
2,강원특별자치도 동해시,97
2,강원특별자치도 삼척시,156
2,강원특별자치도 속초시,273
2,강원특별자치도 양구군,16
2,강원특별자치도 양양군,319
2,강원특별자치도 영월군,112
2,강원특별자치도 원주시,131
2,강원특별자치도 인제군,72
2,강원특별자치도 정선군,91
2,강원특별자치도 철원군,24
2,강원특별자치도 춘천시,313
2,강원특별자치도 태백시,20
2,강원특별자치도 평창군,240
2,강원특별자치도 홍천군,240
2,강원특별자치도 화천군,56
2,강원특별자치도 횡성군,92
2,경상남도 거제시,545
2,경상남도 거창군,34
2,경상남도 고성군,52
2,경상남도 김해시,134
2,경상남도 남해군,350
2,경상남도 밀양시,83
2,경상남도 사천시,103
2,경상남도 산청군,72
2,경상남도 양산시,126
2,경상남도 의령군,7
2,경상남도 진주시,112
2,경상남도 창녕군,28
2,경상남도 창원시 마산합포구,68
2,경상남도 창원시 마산회원구,34
2,경상남도 창원시 성산구,92
2,경상남도 창원시 의창구,81
2,경상남도 창원시 진해구,49
2,경상남도 통영시,313
2,경상남도 하동군,81
2,경상남도 함안군,10
2,경상남도 함양군,23
2,경상남도 합천군,42
2,경상북도 경산시,48
2,경상북도 경주시,716
2,경상북도 고령군,2
2,경상북도 구미시,116
2,경상북도 군위군,8
2,경상북도 김천시,57
2,경상북도 문경시,68
2,경상북도 봉화군,15
2,경상북도 상주시,34
2,경상북도 성주군,44
2,경상북도 안동시,140
2,경상북도 영덕군,117
2,경상북도 영양군,2
2,경상북도 영주시,49
2,경상북도 영천시,33
2,경상북도 예천군,8
2,경상북도 울릉군,33
2,경상북도 울진군,70
2,경상북도 의성군,8
2,경상북도 청도군,72
2,경상북도 청송군,15
2,경상북도 칠곡군,33
2,경상북도 포항시,392
2,광주광역시 광산구,82
2,광주광역시 남구,17
2,광주광역시 동구,54
2,광주광역시 북구,68
2,광주광역시 서구,97
2,대구광역시 남구,24
2,대구광역시 달서구,75
2,대구광역시 달성군,28
2,대구광역시 동구,84
2,대구광역시 북구,53
2,대구광역시 서구,38
2,대구광역시 수성구,42
2,대구광역시 중구,57
2,대전광역시 대덕구,45
2,대전광역시 동구,47
2,대전광역시 서구,55
2,대전광역시 유성구,75
2,대전광역시 중구,55
2,부산광역시 강서구,54
2,부산광역시 금정구,28
2,부산광역시 기장군,107
2,부산광역시 남구,37
2,부산광역시 동구,81
2,부산광역시 동래구,54
2,부산광역시 부산광역시진구,11
2,부산광역시 부산진구,138
2,부산광역시 북구,52
2,부산광역시 사상구,61
2,부산광역시 사하구,38
2,부산광역시 서구,44
2,부산광역시 수영구,106
2,부산광역시 연제구,42
2,부산광역시 영도구,33
2,부산광역시 중구,89
2,부산광역시 해운대구,235
2,세종특별자치시 금남면,1
2,세종특별자치시 도움1로,1
2,세종특별자치시 부강면,4
2,세종특별자치시 연동면,3
2,세종특별자치시 연서면,2
2,세종특별자치시 전동면,1
2,세종특별자치시 전의면,2
2,세종특별자치시 조치원읍,7
2,울산광역시 남구,118
2,울산광역시 동구,36
2,울산광역시 북구,43
2,울산광역시 울주군,157
2,울산광역시 중구,24
2,전라남도 강진군,10
2,전라남도 고흥군,44
2,전라남도 곡성군,17
2,전라남도 광양시,73
2,전라남도 구례군,60
2,전라남도 나주시,47
2,전라남도 담양군,68
2,전라남도 목포시,130
2,전라남도 무안군,27
2,전라남도 보성군,24
2,전라남도 순천시,174
2,전라남도 신안군,21
2,전라남도 여수시,556
2,전라남도 영광군,22
2,전라남도 영암군,17
2,전라남도 완도군,64
2,전라남도 장성군,31
2,전라남도 장흥군,10
2,전라남도 진도군,19
2,전라남도 함평군,14
2,전라남도 해남군,37
2,전라남도 화순군,21
2,전북특별자치도 고창군,28
2,전북특별자치도 군산시,124
2,전북특별자치도 김제시,21
2,전북특별자치도 남원시,51
2,전북특별자치도 무주군,114
2,전북특별자치도 부안군,159
2,전북특별자치도 순창군,8
2,전북특별자치도 완주군,65
2,전북특별자치도 익산시,74
2,전북특별자치도 임실군,10
2,전북특별자치도 장수군,4
2,전북특별자치도 전주시,529
2,전북특별자치도 정읍시,43
2,전북특별자치도 진안군,15
2,제주특별자치도 서귀포시,941
2,제주특별자치도 제주시,1315
2,제주특별자치도 제주특별자치도시,17
2,충청남도 계룡시,16
2,충청남도 공주시,122
2,충청남도 금산군,32
2,충청남도 논산시,53
2,충청남도 당진시,49
2,충청남도 보령시,261
2,충청남도 부여군,20
2,충청남도 서산시,97
2,충청남도 서천군,26
2,충청남도 아산시,96
2,충청남도 예산군,40
2,충청남도 천안시 동남구,72
2,충청남도 천안시 서북구,89
2,충청남도 청양군,14
2,충청남도 태안군,661
2,충청남도 홍성군,27
2,충청북도 괴산군,64
2,충청북도 단양군,173
2,충청북도 보은군,34
2,충청북도 영동군,12
2,충청북도 옥천군,16
2,충청북도 음성군,28
2,충청북도 제천시,122
2,충청북도 증평군,6
2,충청북도 진천군,37
2,충청북도 청주시 상당구,64
2,충청북도 청주시 서원구,16
2,충청북도 청주시 청원구,47
2,충청북도 청주시 흥덕구,86
2,충청북도 충주시,115
3,강원특별자치도 강릉시,668
3,강원특별자치도 고성군,194
3,강원특별자치도 동해시,98
3,강원특별자치도 삼척시,157
3,강원특별자치도 속초시,276
3,강원특별자치도 양구군,18
3,강원특별자치도 양양군,319
3,강원특별자치도 영월군,111
3,강원특별자치도 원주시,130
3,강원특별자치도 인제군,73
3,강원특별자치도 정선군,96
3,강원특별자치도 철원군,25
3,강원특별자치도 춘천시,313
3,강원특별자치도 태백시,20
3,강원특별자치도 평창군,243
3,강원특별자치도 홍천군,240
3,강원특별자치도 화천군,56
3,강원특별자치도 횡성군,93
3,경상남도 거제시,550
3,경상남도 거창군,34
3,경상남도 고성군,50
3,경상남도 김해시,135
3,경상남도 남해군,349
3,경상남도 밀양시,82
3,경상남도 사천시,102
3,경상남도 산청군,73
3,경상남도 양산시,124
3,경상남도 의령군,7
3,경상남도 진주시,115
3,경상남도 창녕군,29
3,경상남도 창원시 마산합포구,68
3,경상남도 창원시 마산회원구,34
3,경상남도 창원시 성산구,92
3,경상남도 창원시 의창구,81
3,경상남도 창원시 진해구,53
3,경상남도 통영시,309
3,경상남도 하동군,80
3,경상남도 함안군,10
3,경상남도 함양군,23
3,경상남도 합천군,41
3,경상북도 경산시,48
3,경상북도 경주시,719
3,경상북도 고령군,2
3,경상북도 구미시,118
3,경상북도 군위군,9
3,경상북도 김천시,57
3,경상북도 문경시,67
3,경상북도 봉화군,16
3,경상북도 상주시,34
3,경상북도 성주군,44
3,경상북도 안동시,140
3,경상북도 영덕군,121
3,경상북도 영양군,2
3,경상북도 영주시,48
3,경상북도 영천시,33
3,경상북도 예천군,8
3,경상북도 울릉군,32
3,경상북도 울진군,71
3,경상북도 의성군,8
3,경상북도 청도군,72
3,경상북도 청송군,15
3,경상북도 칠곡군,33
3,경상북도 포항시,395
3,광주광역시 광산구,81
3,광주광역시 남구,17
3,광주광역시 동구,53
3,광주광역시 북구,68
3,광주광역시 서구,97
3,대구광역시 남구,24
3,대구광역시 달서구,73
3,대구광역시 달성군,28
3,대구광역시 동구,84
3,대구광역시 북구,53
3,대구광역시 서구,37
3,대구광역시 수성구,43
3,대구광역시 중구,58
3,대전광역시 대덕구,47
3,대전광역시 동구,46
3,대전광역시 서구,56
3,대전광역시 유성구,77
3,대전광역시 중구,54
3,부산광역시 강서구,55
3,부산광역시 금정구,29
3,부산광역시 기장군,109
3,부산광역시 남구,37
3,부산광역시 동구,81
3,부산광역시 동래구,54
3,부산광역시 부산광역시진구,10
3,부산광역시 부산진구,139
3,부산광역시 북구,52
3,부산광역시 사상구,63
3,부산광역시 사하구,38
3,부산광역시 서구,44
3,부산광역시 수영구,107
3,부산광역시 연제구,42
3,부산광역시 영도구,32
3,부산광역시 중구,89
3,부산광역시 해운대구,241
3,세종특별자치시 금남면,1
3,세종특별자치시 도움1로,1
3,세종특별자치시 부강면,4
3,세종특별자치시 연동면,3
3,세종특별자치시 연서면,2
3,세종특별자치시 전동면,1
3,세종특별자치시 전의면,2
3,세종특별자치시 조치원읍,7
3,울산광역시 남구,118
3,울산광역시 동구,36
3,울산광역시 북구,44
3,울산광역시 울주군,156
3,울산광역시 중구,23
3,전라남도 강진군,10
3,전라남도 고흥군,45
3,전라남도 곡성군,17
3,전라남도 광양시,73
3,전라남도 구례군,60
3,전라남도 나주시,52
3,전라남도 담양군,69
3,전라남도 목포시,130
3,전라남도 무안군,27
3,전라남도 보성군,24
3,전라남도 순천시,171
3,전라남도 신안군,22
3,전라남도 여수시,565
3,전라남도 영광군,22
3,전라남도 영암군,16
3,전라남도 완도군,64
3,전라남도 장성군,32
3,전라남도 장흥군,10
3,전라남도 진도군,19
3,전라남도 함평군,14
3,전라남도 해남군,38
3,전라남도 화순군,22
3,전북특별자치도 고창군,29
3,전북특별자치도 군산시,125
3,전북특별자치도 김제시,21
3,전북특별자치도 남원시,52
3,전북특별자치도 무주군,114
3,전북특별자치도 부안군,158
3,전북특별자치도 순창군,8
3,전북특별자치도 완주군,67
3,전북특별자치도 익산시,77
3,전북특별자치도 임실군,10
3,전북특별자치도 장수군,3
3,전북특별자치도 전주시,527
3,전북특별자치도 정읍시,43
3,전북특별자치도 진안군,15
3,제주특별자치도 서귀포시,951
3,제주특별자치도 제주시,1330
3,제주특별자치도 제주특별자치도시,17
3,충청남도 계룡시,16
3,충청남도 공주시,122
3,충청남도 금산군,32
3,충청남도 논산시,53
3,충청남도 당진시,49
3,충청남도 보령시,263
3,충청남도 부여군,20
3,충청남도 서산시,100
3,충청남도 서천군,26
3,충청남도 아산시,96
3,충청남도 예산군,40
3,충청남도 천안시 동남구,71
3,충청남도 천안시 서북구,90
3,충청남도 청양군,15
3,충청남도 태안군,663
3,충청남도 홍성군,27
3,충청북도 괴산군,64
3,충청북도 단양군,173
3,충청북도 보은군,34
3,충청북도 영동군,12
3,충청북도 옥천군,15
3,충청북도 음성군,28
3,충청북도 제천시,118
3,충청북도 증평군,6
3,충청북도 진천군,37
3,충청북도 청주시 상당구,65
3,충청북도 청주시 서원구,16
3,충청북도 청주시 청원구,49
3,충청북도 청주시 흥덕구,85
3,충청북도 충주시,116
4,강원특별자치도 강릉시,674
