일시,지역명,방문자수
10,강원특별자치도 화천군,949267
10,강원특별자치도 양구군,833814
10,강원특별자치도 인제군,1949641
10,강원특별자치도 고성군,2074759
10,강원특별자치도 양양군,2591573
11,강원특별자치도 춘천시,9499315
11,강원특별자치도 원주시,10368568
11,강원특별자치도 강릉시,7928864
11,강원특별자치도 동해시,2853682
11,강원특별자치도 태백시,1409418
11,강원특별자치도 속초시,3834911
11,강원특별자치도 삼척시,2233169
11,강원특별자치도 홍천군,2405558
11,강원특별자치도 횡성군,1545511
11,강원특별자치도 영월군,1091896
11,강원특별자치도 평창군,2029625
11,강원특별자치도 정선군,1398763
11,강원특별자치도 철원군,1270923
11,강원특별자치도 화천군,844167
11,강원특별자치도 양구군,773411
11,강원특별자치도 인제군,1288832
11,강원특별자치도 고성군,1530444
11,강원특별자치도 양양군,1821441
12,강원특별자치도 춘천시,9508170
12,강원특별자치도 원주시,10449383
12,강원특별자치도 강릉시,8315581
12,강원특별자치도 동해시,2960377
12,강원특별자치도 태백시,1442036
12,강원특별자치도 속초시,4148135
12,강원특별자치도 삼척시,2213172
12,강원특별자치도 홍천군,2547185
12,강원특별자치도 횡성군,1585295
12,강원특별자치도 영월군,1091444
12,강원특별자치도 평창군,2425155
12,강원특별자치도 정선군,1578288
12,강원특별자치도 철원군,1283590
12,강원특별자치도 화천군,810744
12,강원특별자치도 양구군,748479
12,강원특별자치도 인제군,1375253
12,강원특별자치도 고성군,1721786
12,강원특별자치도 양양군,1852368
01,경상남도 창원시 의창구,6539494
01,경상남도 창원시 성산구,7692335
01,경상남도 창원시 마산합포구,5368131
01,경상남도 창원시 마산회원구,4950328
01,경상남도 창원시 진해구,4286402
01,경상남도 진주시,7187270
01,경상남도 통영시,3617723
01,경상남도 사천시,3115532
01,경상남도 김해시,12699510
01,경상남도 밀양시,3054460
01,경상남도 거제시,8847929
01,경상남도 양산시,8943244
01,경상남도 의령군,806798
01,경상남도 함안군,2026876
01,경상남도 창녕군,1763322
01,경상남도 고성군,1604710
01,경상남도 남해군,1413065
01,경상남도 하동군,1071257
01,경상남도 산청군,987755
01,경상남도 함양군,1123776
01,경상남도 거창군,1645819
01,경상남도 합천군,1246260
02,경상남도 창원시 의창구,5893059
02,경상남도 창원시 성산구,6929803
02,경상남도 창원시 마산합포구,4684603
02,경상남도 창원시 마산회원구,4335150
02,경상남도 창원시 진해구,3840949
02,경상남도 진주시,6362789
02,경상남도 통영시,3241177
02,경상남도 사천시,2753324
02,경상남도 김해시,11426150
02,경상남도 밀양시,2684220
02,경상남도 거제시,8056175
02,경상남도 양산시,8152372
02,경상남도 의령군,709749
02,경상남도 함안군,1818300
02,경상남도 창녕군,1533188
02,경상남도 고성군,1418224
02,경상남도 남해군,1228934
02,경상남도 하동군,965977
02,경상남도 산청군,835863
02,경상남도 함양군,974634
02,경상남도 거창군,1423926
02,경상남도 합천군,1042437
03,경상남도 창원시 의창구,6898337
03,경상남도 창원시 성산구,7896617
03,경상남도 창원시 마산합포구,5601505
03,경상남도 창원시 마산회원구,5034754
03,경상남도 창원시 진해구,4997051
03,경상남도 진주시,7667747
03,경상남도 통영시,3702734
03,경상남도 사천시,3300650
03,경상남도 김해시,13280166
03,경상남도 밀양시,3306286
03,경상남도 거제시,9116285
03,경상남도 양산시,9423195
03,경상남도 의령군,835912
03,경상남도 함안군,2146239
03,경상남도 창녕군,1833434
03,경상남도 고성군,1667314
03,경상남도 남해군,1463902
03,경상남도 하동군,1790868
03,경상남도 산청군,1010495
03,경상남도 함양군,1148632
03,경상남도 거창군,1642266
03,경상남도 합천군,1266007
04,경상남도 창원시 의창구,6453567
04,경상남도 창원시 성산구,7319418
04,경상남도 창원시 마산합포구,5200382
04,경상남도 창원시 마산회원구,4679143
04,경상남도 창원시 진해구,4351547
04,경상남도 진주시,6972336
04,경상남도 통영시,3563543
04,경상남도 사천시,3344838
04,경상남도 김해시,12535787
04,경상남도 밀양시,3205047
04,경상남도 거제시,8752933
04,경상남도 양산시,8686836
04,경상남도 의령군,896524
04,경상남도 함안군,2169454
04,경상남도 창녕군,2046092
04,경상남도 고성군,1657851
04,경상남도 남해군,1516045
04,경상남도 하동군,1355065
04,경상남도 산청군,1134488
04,경상남도 함양군,1213325
04,경상남도 거창군,1630002
04,경상남도 합천군,1398654
05,경상남도 창원시 의창구,6884081
05,경상남도 창원시 성산구,7803470
05,경상남도 창원시 마산합포구,5614766
05,경상남도 창원시 마산회원구,5031021
05,경상남도 창원시 진해구,4432447
05,경상남도 진주시,7585360
05,경상남도 통영시,3747563
05,경상남도 사천시,3369644
05,경상남도 김해시,13363220
05,경상남도 밀양시,3474394
05,경상남도 거제시,9252325
05,경상남도 양산시,9327484
05,경상남도 의령군,908939
05,경상남도 함안군,2391603
05,경상남도 창녕군,1941756
05,경상남도 고성군,1728862
05,경상남도 남해군,1576788
05,경상남도 하동군,1412472
05,경상남도 산청군,1206433
05,경상남도 함양군,1333332
05,경상남도 거창군,1751375
05,경상남도 합천군,1483558
06,경상남도 창원시 의창구,6422665
06,경상남도 창원시 성산구,7514122
06,경상남도 창원시 마산합포구,5336713
06,경상남도 창원시 마산회원구,4616808
06,경상남도 창원시 진해구,4314840
06,경상남도 진주시,7117560
06,경상남도 통영시,3516877
06,경상남도 사천시,3135386
06,경상남도 김해시,12669242
06,경상남도 밀양시,3176854
06,경상남도 거제시,9098313
06,경상남도 양산시,8889360
06,경상남도 의령군,800826
06,경상남도 함안군,1956771
06,경상남도 창녕군,1784769
06,경상남도 고성군,1667655
06,경상남도 남해군,1454688
06,경상남도 하동군,1154965
06,경상남도 산청군,1075875
06,경상남도 함양군,1253586
06,경상남도 거창군,1654851
06,경상남도 합천군,1289523
07,경상남도 창원시 의창구,6459873
07,경상남도 창원시 성산구,7630195
07,경상남도 창원시 마산합포구,5385143
07,경상남도 창원시 마산회원구,4672959
07,경상남도 창원시 진해구,4369420
07,경상남도 진주시,7091498
07,경상남도 통영시,3552244
